Jan 2016,88,88,,29,29,13,10,6,,16,16,6,2,8
Feb 2016,98,186,,31,60,24,4,3,,16,32,12,1,3
Mar 2016,87,273,,28,88,16,9,3,,16,48,8,2,6
Apr 2016,77,350,,20,108,13,4,3,,16,64,11,1,4
May 2016,91,441,,21,129,8,13,0,,14,78,8,0,5
June 2016,118,559,,19,148,10,8,1,,8,86,4,0,4
July 2016,122,681,,15,163,11,2,2,,11,97,5,1,5
Aug 2016,73,754,,13,176,5,4,4,,10,107,8,1,1
Sept 2016,73,827,,31,207,18,11,2,,12,119,7,0,5
Oct 2016,67,894,,16,223,10,3,3,,10,129,6,1,3
Nov 2016,87,981,,23,246,13,9,1,,15,144,6,3,6
Dec 2016,65,1046,,28,274,18,8,2,,13,157,9,2,2
2016 totals,,,,,,159,85,30,,,,91,14,52
